Gene ID	Gene Name	SRR12951211	SRR12951212	SRR12951213	SRR12951214	SRR12951215	SRR12951216	SRR12951217	SRR12951218	SRR12951219	SRR12951220	SRR12951221	SRR12951222	SRR12951223	SRR12951224	SRR12951225	SRR12951226	SRR12951227	SRR12951228	SRR12951229
ENSG00000000003	TSPAN6	512	1608	201	84	99	695	10	71	303	1559	934	1044	1196	391	1130	550	326	568	464
ENSG00000000005	TNMD	5	0	6	0	2	1	0	0	11	1	26	8	19	5	13	18	2	23	8
ENSG00000000419	DPM1	315	66	593	343	151	458	39	377	364	489	369	288	405	311	368	281	252	271	168
ENSG00000000457	SCYL3	270	179	428	194	155	822	79	277	267	495	351	387	534	235	595	491	396	365	325
ENSG00000000460	C1orf112	240	49	207	51	86	235	32	64	136	187	210	226	302	204	404	349	376	261	215
ENSG00000000938	FGR	110	12	491	13	137	0	32	17	22	304	43	40	102	80	90	48	69	284	56
ENSG00000000971	CFH	1782	1106	3359	1593	1448	1358	824	91	2839	6801	2598	1823	2213	2120	2290	2965	4943	2290	1582
ENSG00000001036	FUCA2	180	535	205	261	118	68	25	101	162	237	280	336	273	185	373	289	266	205	183
ENSG00000001084	GCLC	817	224	1311	1510	1596	257	766	824	924	1198	1132	1086	852	894	1299	741	855	914	555
ENSG00000001167	NFYA	437	456	402	164	96	241	177	350	301	277	551	435	562	433	633	756	473	475	414
ENSG00000001460	STPG1	318	171	252	138	99	96	81	64	91	141	234	262	209	249	225	295	169	139	254
ENSG00000001461	NIPAL3	583	146	475	216	230	108	242	136	231	284	475	464	434	427	726	547	248	568	367
ENSG00000001497	LAS1L	732	76	617	238	558	1036	17	586	416	681	411	429	353	451	689	474	448	1000	616
ENSG00000001561	ENPP4	416	401	770	730	1826	1316	63	217	633	1084	743	659	580	599	994	524	350	554	362
ENSG00000001617	SEMA3F	50	3	15	0	2	6	18	8	12	26	27	15	35	38	36	24	25	37	45
ENSG00000001626	CFTR	1859	1067	114	6	1	491	1176	443	1432	2400	3196	4863	5401	827	4726	6580	2235	2367	4451
ENSG00000001629	ANKIB1	1483	905	2833	2034	1728	1023	715	904	1772	2365	1505	1566	1555	2047	2174	1695	1474	1497	1038
ENSG00000001630	CYP51A1	6	0	2	3	0	0	0	0	18	7	1	4	15	3	12	9	2	1	3
ENSG00000001631	KRIT1	374	118	753	720	537	158	268	110	502	561	417	368	426	384	454	375	396	362	201
ENSG00000002016	RAD52	221	16	273	194	183	12	109	65	39	109	225	226	225	178	492	329	189	291	234
ENSG00000002079	MYH16	2	0	0	1	0	0	0	0	0	0	2	0	0	1	4	0	2	0	0
ENSG00000002330	BAD	8	1	11	0	3	4	0	75	0	9	46	46	31	35	57	26	28	27	17
ENSG00000002549	LAP3	445	269	1617	390	276	354	60	250	348	542	597	289	670	369	666	410	355	454	356
ENSG00000002586	CD99	978	489	2519	843	1925	603	155	292	763	767	938	681	581	1026	863	569	532	1442	443
ENSG00000002587	HS3ST1	56	22	12	85	18	11	25	1	171	81	118	69	213	57	90	121	108	108	65
ENSG00000002726	AOC1	635	170	1	0	0	3	30	42	50	286	763	643	453	1331	640	816	242	516	1099
ENSG00000002745	WNT16	37	4	42	27	33	48	10	0	59	35	16	24	21	45	66	37	28	64	27
ENSG00000002746	HECW1	23	0	22	51	89	0	0	0	6	32	21	27	26	2	18	21	11	15	8
ENSG00000002822	MAD1L1	29	0	18	3	41	0	8	50	1	10	38	36	37	23	43	31	20	29	55
ENSG00000002834	LASP1	1100	388	261	312	221	40	195	356	226	457	1068	823	852	1517	876	1098	614	808	977
ENSG00000002919	SNX11	80	153	35	16	0	348	0	40	94	43	75	78	96	62	149	126	80	77	51
ENSG00000002933	TMEM176A	527	391	725	264	142	171	5	12	263	441	688	671	509	1013	424	496	205	561	506
ENSG00000003056	M6PR	333	86	510	478	404	63	11	116	216	348	253	243	331	272	372	330	202	293	333
ENSG00000003096	KLHL13	218	225	239	160	421	3	0	44	221	291	195	161	115	255	218	166	234	191	91
ENSG00000003137	CYP26B1	35	12	16	4	10	0	0	0	103	74	39	24	19	31	27	37	25	4	4
ENSG00000003147	ICA1	381	571	91	86	33	192	49	105	163	224	522	643	453	198	657	495	273	295	305
ENSG00000003249	DBNDD1	3	3	43	3	36	0	0	0	0	2	18	11	6	34	21	7	5	18	17
ENSG00000003393	ALS2	455	60	647	452	461	31	113	997	450	526	482	326	352	570	831	484	475	465	324
